FT_ID,lodgeNumber,lodgeType,year,trailLength,season
3558_FT02,3558,Pond,2018,7,springStatus
3558_FT03,3558,Pond,2018,4,springStatus
3558_FT04,3558,Pond,2018,7,springStatus
3558_FT05,3558,Pond,2018,5,springStatus
3558_FT06,3558,Pond,2018,5,springStatus
3558_FT07,3558,Pond,2018,6,springStatus
3558_FT08,3558,Pond,2018,8,springStatus
3558_FT09,3558,Pond,2018,6,springStatus
3558_FT10,3558,Pond,2018,8,springStatus
3558_FT12,3558,Pond,2018,4,springStatus
3558_FT13,3558,Pond,2018,5,springStatus
3558_FT14,3558,Pond,2018,13,springStatus
3558_FT15,3558,Pond,2018,7,springStatus
3558_FT18,3558,Pond,2018,13,springStatus
3558_FT19,3558,Pond,2018,8,springStatus
3558_FT20,3558,Pond,2018,10,springStatus
1152_FT01,1152,Pond,2018,6,springStatus
1152_FT02,1152,Pond,2018,8,springStatus
1152_FT03,1152,Pond,2018,3,springStatus
1152_FT04,1152,Pond,2018,55,springStatus
1152_FT07,1152,Pond,2018,11,springStatus
1152_FT08,1152,Pond,2018,9,springStatus
1152_FT09,1152,Pond,2018,5,springStatus
1152_FT11,1152,Pond,2018,9,springStatus
1152_FT12,1152,Pond,2018,14,springStatus
1152_FT13,1152,Pond,2018,4,springStatus
1519_FT02,1519,Lake,2018,17,springStatus
1794_FT01,1794,Lake,2018,10,springStatus
1794_FT02,1794,Lake,2018,8,springStatus
1794_FT03,1794,Lake,2018,8,springStatus
1794_FT04,1794,Lake,2018,4,springStatus
1794_FT05,1794,Lake,2018,24,springStatus
1794_FT07,1794,Lake,2018,8,springStatus
1794_FT08,1794,Lake,2018,6,springStatus
1794_FT09,1794,Lake,2018,4,springStatus
1794_FT10,1794,Lake,2018,10,springStatus
3898_FT03,3898,Lake,2018,3,springStatus
3898_FT04,3898,Lake,2018,3,springStatus
3898_FT05,3898,Lake,2018,16,springStatus
3898_FT07,3898,Lake,2018,4,springStatus
3348_FT01,3348,Lake,2018,14,springStatus
3348_FT02,3348,Lake,2018,20,springStatus
3348_FT03,3348,Lake,2018,10,springStatus
3348_FT04,3348,Lake,2018,8,springStatus
3348_FT05,3348,Lake,2018,11,springStatus
3348_FT06,3348,Lake,2018,4,springStatus
3348_FT07,3348,Lake,2018,6,springStatus
3348_FT08,3348,Lake,2018,9,springStatus
3348_FT09,3348,Lake,2018,8,springStatus
3348_FT10,3348,Lake,2018,6,springStatus
3348_FT11,3348,Lake,2018,3,springStatus
3348_FT12,3348,Lake,2018,5,springStatus
3348_FT13,3348,Lake,2018,4,springStatus
3348_FT14,3348,Lake,2018,19,springStatus
3348_FT15,3348,Lake,2018,31,springStatus
3348_FT16,3348,Lake,2018,6,springStatus
3348_FT17,3348,Lake,2018,24,springStatus
3348_FT18,3348,Lake,2018,20,springStatus
3348_FT19,3348,Lake,2018,34,springStatus
3348_FT20,3348,Lake,2018,33,springStatus
3348_FT21,3348,Lake,2018,33,springStatus
3348_FT22,3348,Lake,2018,6,springStatus
3348_FT23,3348,Lake,2018,18,springStatus
