FT_ID,lodgeNumber,lodgeType,year,seasonIdent,trailLength
1007_FT25,1007,Lake,2018,Summer,10
1007_FT26,1007,Lake,2018,Summer,9
3224_FT02,3224,Pond,2018,Spring,14
3224_FT03,3224,Pond,2018,Spring,11
3224_FT04,3224,Pond,2018,Spring,9
3224_FT05,3224,Pond,2018,Fall,9
3224_FT06,3224,Pond,2018,Spring,30
3224_FT07,3224,Pond,2018,Spring,18
3224_FT08,3224,Pond,2018,Spring,28
3224_FT09,3224,Pond,2018,Summer,11
3224_FT10,3224,Pond,2018,Spring,9
3224_FT11,3224,Pond,2018,Spring,13
3224_FT12,3224,Pond,2018,Spring,11
3224_FT13,3224,Pond,2018,Spring,14
3224_FT14,3224,Pond,2018,Spring,21
3224_FT15,3224,Pond,2018,Spring,19
3224_FT16,3224,Pond,2018,Spring,32
3224_FT17,3224,Pond,2018,Summer,6
3224_FT18,3224,Pond,2018,Summer,6
3224_FT19,3224,Pond,2018,Summer,6
3224_FT20,3224,Pond,2018,Summer,5
3224_FT21,3224,Pond,2018,Summer,8
3224_FT22,3224,Pond,2018,Summer,20
3224_FT23,3224,Pond,2018,Summer,21
3224_FT24,3224,Pond,2018,Summer,18
3224_FT25,3224,Pond,2018,Summer,23
3224_FT26,3224,Pond,2018,Summer,20
3224_FT27,3224,Pond,2018,Summer,14
3224_FT28,3224,Pond,2018,Summer,4
3224_FT29,3224,Pond,2018,Summer,8
3224_FT30,3224,Pond,2018,Summer,9
3224_FT31,3224,Pond,2018,Summer,12
3224_FT32,3224,Pond,2018,Summer,8
3224_FT33,3224,Pond,2018,Summer,25
3224_FT34,3224,Pond,2018,Summer,20
3224_FT35,3224,Pond,2018,Fall,4
3224_FT36,3224,Pond,2018,Fall,3
3224_FT37,3224,Pond,2018,Fall,15
3224_FT38,3224,Pond,2018,Fall,4
3224_FT39,3224,Pond,2018,Fall,14
3224_FT40,3224,Pond,2018,Fall,7
3224_FT41,3224,Pond,2018,Fall,9
1096_FT01,1096,Lake,2018,Spring,13
1096_FT02,1096,Lake,2018,Spring,17
1096_FT03,1096,Lake,2018,Spring,38
1115_FT01,1115,Pond,2018,Spring,7
1115_FT02,1115,Pond,2018,Spring,10
1115_FT03,1115,Pond,2018,Spring,7
1115_FT04,1115,Pond,2018,Spring,12
1115_FT06,1115,Pond,2018,Spring,11
1115_FT07,1115,Pond,2018,Spring,6
1115_FT08,1115,Pond,2018,Spring,32
1115_FT10,1115,Pond,2018,Spring,18
1115_FT13,1115,Pond,2018,Summer,9
1115_FT14,1115,Pond,2018,Summer,10
1115_FT15,1115,Pond,2018,Summer,30
3558_FT01,3558,Pond,2018,Spring,7
3558_FT02,3558,Pond,2018,Spring,8
3558_FT03,3558,Pond,2018,Spring,5
3558_FT04,3558,Pond,2018,Spring,7
3558_FT05,3558,Pond,2018,Spring,6
3558_FT06,3558,Pond,2018,Spring,5
3558_FT07,3558,Pond,2018,Spring,6
3558_FT08,3558,Pond,2018,Spring,9
3558_FT09,3558,Pond,2018,Spring,6
3558_FT10,3558,Pond,2018,Spring,9
3558_FT12,3558,Pond,2018,Spring,5
3558_FT13,3558,Pond,2018,Spring,5
3558_FT14,3558,Pond,2018,Spring,13
3558_FT15,3558,Pond,2018,Spring,8
3558_FT16,3558,Pond,2018,Summer,20
3558_FT17,3558,Pond,2018,Fall,14
3558_FT18,3558,Pond,2018,Spring,14
3558_FT19,3558,Pond,2018,Spring,9
3558_FT20,3558,Pond,2018,Spring,11
3558_FT21,3558,Pond,2018,Summer,12
3558_FT22,3558,Pond,2018,Summer,20
3558_FT23,3558,Pond,2018,Summer,11
3558_FT24,3558,Pond,2018,Summer,9
3558_FT25,3558,Pond,2018,Fall,28
3558_FT26,3558,Pond,2018,Fall,37
3558_FT27,3558,Pond,2018,Fall,46
1152_FT01,1152,Pond,2018,Spring,6
1152_FT02,1152,Pond,2018,Spring,8
1152_FT03,1152,Pond,2018,Spring,3
1152_FT04,1152,Pond,2018,Spring,56
1152_FT06,1152,Pond,2018,Fall,20
1152_FT07,1152,Pond,2018,Spring,11
1152_FT08,1152,Pond,2018,Spring,10
1152_FT09,1152,Pond,2018,Spring,5
1152_FT11,1152,Pond,2018,Spring,10
1152_FT12,1152,Pond,2018,Spring,15
1152_FT13,1152,Pond,2018,Spring,5
1152_FT14,1152,Pond,2018,Summer,9
1152_FT15,1152,Pond,2018,Summer,15
1152_FT17,1152,Pond,2018,Summer,4
1152_FT18,1152,Pond,2018,Summer,8
1152_FT19,1152,Pond,2018,Summer,11
1152_FT20,1152,Pond,2018,Summer,15
1152_FT21,1152,Pond,2018,Summer,6
1152_FT22,1152,Pond,2018,Summer,9
1152_FT23,1152,Pond,2018,Summer,10
1152_FT24,1152,Pond,2018,Summer,10
1152_FT25,1152,Pond,2018,Summer,12
1152_FT26,1152,Pond,2018,Summer,23
1152_FT27,1152,Pond,2018,Summer,23
1152_FT28,1152,Pond,2018,Summer,26
1152_FT29,1152,Pond,2018,Summer,10
1152_FT30,1152,Pond,2018,Summer,38
1152_FT31,1152,Pond,2018,Summer,35
