beavCaptID,camDeployID,lodgeNumber,lodgeType,Season,inOutWater,timeOnLand
8118,396,197,Lake,Summer,Yes,26
8120,396,197,Lake,Summer,Yes,20
8126,396,197,Lake,Summer,Yes,12
8127,396,197,Lake,Summer,Yes,25
8129,396,197,Lake,Summer,Yes,5
8130,396,197,Lake,Summer,Yes,18
8131,396,197,Lake,Summer,Yes,30
8132,396,197,Lake,Summer,Yes,29
8133,396,197,Lake,Summer,Yes,17
8134,396,197,Lake,Summer,Yes,16
8135,396,197,Lake,Summer,Yes,3
8136,396,197,Lake,Summer,Yes,5
8137,396,197,Lake,Summer,Yes,5
8138,396,197,Lake,Summer,Yes,15
8140,396,197,Lake,Summer,Yes,9
8141,396,197,Lake,Summer,Yes,8
8142,396,197,Lake,Summer,Yes,9
8143,396,197,Lake,Summer,Yes,11
8144,396,197,Lake,Summer,Yes,12
8145,396,197,Lake,Summer,Yes,13
8146,396,197,Lake,Summer,Yes,15
8147,396,197,Lake,Summer,Yes,20
8148,396,197,Lake,Summer,Yes,11
8149,396,197,Lake,Summer,Yes,14
8151,396,197,Lake,Summer,Yes,9
8152,396,197,Lake,Summer,Yes,17
8153,396,197,Lake,Summer,Yes,9
8154,396,197,Lake,Summer,Yes,3
8155,396,197,Lake,Summer,Yes,12
8156,396,197,Lake,Summer,Yes,22
8157,396,197,Lake,Summer,Yes,30
8158,396,197,Lake,Summer,Yes,22
8159,396,197,Lake,Summer,Yes,19
8162,396,197,Lake,Summer,Yes,2
8163,396,197,Lake,Summer,Yes,4
8164,396,197,Lake,Summer,Yes,4
8165,396,197,Lake,Summer,Yes,6
8167,396,197,Lake,Summer,Yes,12
8168,396,197,Lake,Summer,Yes,24
8169,396,197,Lake,Summer,Yes,15
8170,396,197,Lake,Summer,Yes,15
8171,396,197,Lake,Summer,Yes,8
8174,396,197,Lake,Summer,Yes,5
8175,396,197,Lake,Summer,Yes,8
8176,396,197,Lake,Summer,Yes,2
8178,396,197,Lake,Summer,Yes,5
8179,396,197,Lake,Summer,Yes,23
8180,396,197,Lake,Summer,Yes,23
8181,396,197,Lake,Summer,Yes,24
8182,396,197,Lake,Summer,Yes,1
8184,396,197,Lake,Summer,Yes,17
8186,396,197,Lake,Summer,Yes,12
8187,396,197,Lake,Summer,Yes,12
8189,396,197,Lake,Summer,Yes,13
8191,396,197,Lake,Summer,Yes,16
8193,396,197,Lake,Summer,Yes,14
8195,396,197,Lake,Summer,Yes,16
8198,396,197,Lake,Summer,Yes,4
8199,396,197,Lake,Summer,Yes,18
8201,396,197,Lake,Summer,Yes,11
8202,396,197,Lake,Summer,Yes,9
8204,396,197,Lake,Summer,Yes,21
8206,396,197,Lake,Summer,Yes,13
8207,396,197,Lake,Summer,Yes,18
8208,396,197,Lake,Summer,Yes,21
8211,396,197,Lake,Summer,Yes,16
8212,396,197,Lake,Summer,Yes,7
8213,396,197,Lake,Summer,Yes,10
8216,396,197,Lake,Summer,Yes,11
8217,396,197,Lake,Summer,Yes,25
8218,396,197,Lake,Summer,Yes,19
8223,396,197,Lake,Summer,Yes,8
8251,406,1913,Pond,Summer,Yes,3
8260,406,1913,Pond,Summer,Yes,6
8261,406,1913,Pond,Summer,Yes,6
8262,406,1913,Pond,Summer,Yes,17
8263,406,1913,Pond,Summer,Yes,13
8264,406,1913,Pond,Summer,Yes,10
8266,406,1913,Pond,Summer,Yes,10
8267,406,1913,Pond,Summer,Yes,2
8268,406,1913,Pond,Summer,Yes,3
8269,406,1913,Pond,Summer,Yes,10
8277,406,1913,Pond,Summer,Yes,4
8279,406,1913,Pond,Summer,Yes,4
8280,406,1913,Pond,Summer,Yes,9
8284,406,1913,Pond,Summer,Yes,11
8285,406,1913,Pond,Summer,Yes,22
8286,406,1913,Pond,Summer,Yes,20
8288,406,1913,Pond,Summer,Yes,15
8290,407,1913,Pond,Summer,Yes,5
8291,407,1913,Pond,Summer,Yes,26
8292,407,1913,Pond,Summer,Yes,27
8293,407,1913,Pond,Summer,Yes,18
8295,407,1913,Pond,Summer,Yes,5
8296,407,1913,Pond,Summer,Yes,5
8297,407,1913,Pond,Summer,Yes,4
8298,407,1913,Pond,Summer,Yes,10
8299,407,1913,Pond,Summer,Yes,7
8300,407,1913,Pond,Summer,Yes,6
8301,407,1913,Pond,Summer,Yes,11
8303,407,1913,Pond,Summer,Yes,1
8304,407,1913,Pond,Summer,Yes,8
8305,407,1913,Pond,Summer,Yes,7
8306,407,1913,Pond,Summer,Yes,2
8307,407,1913,Pond,Summer,Yes,3
8308,407,1913,Pond,Summer,Yes,7
8309,407,1913,Pond,Summer,Yes,3
8311,407,1913,Pond,Summer,Yes,6
8315,407,1913,Pond,Summer,Yes,5
8316,407,1913,Pond,Summer,Yes,15
8317,407,1913,Pond,Summer,Yes,17
8318,407,1913,Pond,Summer,Yes,1
8320,407,1913,Pond,Summer,Yes,9
8321,407,1913,Pond,Summer,Yes,17
8322,407,1913,Pond,Summer,Yes,2
8324,407,1913,Pond,Summer,Yes,1
8325,407,1913,Pond,Summer,Yes,6
8326,407,1913,Pond,Summer,Yes,4
8327,407,1913,Pond,Summer,Yes,17
8329,407,1913,Pond,Summer,Yes,4
8330,407,1913,Pond,Summer,Yes,5
8331,407,1913,Pond,Summer,Yes,5
8333,407,1913,Pond,Summer,Yes,8
8334,407,1913,Pond,Summer,Yes,8
8335,407,1913,Pond,Summer,Yes,24
8337,407,1913,Pond,Summer,Yes,21
8338,407,1913,Pond,Summer,Yes,14
8340,407,1913,Pond,Summer,Yes,12
8341,407,1913,Pond,Summer,Yes,12
8343,407,1913,Pond,Summer,Yes,7
8344,407,1913,Pond,Summer,Yes,5
8345,407,1913,Pond,Summer,Yes,17
8346,407,1913,Pond,Summer,Yes,18
8347,407,1913,Pond,Summer,Yes,14
8348,407,1913,Pond,Summer,Yes,11
8350,407,1913,Pond,Summer,Yes,5
8351,407,1913,Pond,Summer,Yes,11
8353,407,1913,Pond,Summer,Yes,10
8354,407,1913,Pond,Summer,Yes,6
8355,407,1913,Pond,Summer,Yes,10
8357,407,1913,Pond,Summer,Yes,2
8358,407,1913,Pond,Summer,Yes,11
8360,407,1913,Pond,Summer,Yes,10
8361,407,1913,Pond,Summer,Yes,5
8362,407,1913,Pond,Summer,Yes,1
8378,408,1913,Pond,Summer,Yes,9
8381,408,1913,Pond,Summer,Yes,4
8383,408,1913,Pond,Summer,Yes,8
8384,408,1913,Pond,Summer,Yes,5
8385,408,1913,Pond,Summer,Yes,7
8386,408,1913,Pond,Summer,Yes,5
8387,408,1913,Pond,Summer,Yes,6
8391,408,1913,Pond,Summer,Yes,3
8392,408,1913,Pond,Summer,Yes,11
8395,408,1913,Pond,Summer,Yes,3
8396,408,1913,Pond,Summer,Yes,7
8397,408,1913,Pond,Summer,Yes,17
8398,389,3224,Pond,Summer,Yes,12
8399,389,3224,Pond,Summer,Yes,8
8401,389,3224,Pond,Summer,Yes,15
8402,389,3224,Pond,Summer,Yes,10
8403,389,3224,Pond,Summer,Yes,22
8404,389,3224,Pond,Summer,Yes,20
8407,389,3224,Pond,Summer,Yes,16
8409,389,3224,Pond,Summer,Yes,2
8410,389,3224,Pond,Summer,Yes,2
8411,389,3224,Pond,Summer,Yes,5
8412,389,3224,Pond,Summer,Yes,2
8414,389,3224,Pond,Summer,Yes,10
8415,389,3224,Pond,Summer,Yes,4
8416,389,3224,Pond,Summer,Yes,2
